id,name,address,num_use,day_use,num_use1,num_use2,num_use3,num_use4,num_use5,lon,lat,urls,num_fast,num_level2,充电桩数量,config_fast,config_level2,service_provider,acessibility,operator,status,others,payment_method,power_price,service_price,parking_price,gaode_lon,gaode_lat
37,民生深圳湾支行充电站,广东省深圳市南山区后海滨路绿海湾花园24商铺民生银行,747,373.5,,1000,,,,113.93453,22.49424572,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=8243,3,0,3,-1,-1,,社会开放,普天,已建成未测试,地面,普天充电卡,1元/度,1元/度电,10元/小时,113.939399,22.491222
394,市儿童医院充电站,广东省深圳市福田区莲花街道福中一路深圳市儿童医院地下一楼,745,372.5,,1000,,,,114.0488516,22.55012712,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=41440,0,30,30,-1,-1,普天新能源,社会开放,聚电,已建成已测试,地下,刷卡,不详,不详,,114.053961,22.547403
331,福田皇洲花园充电站,广东省深圳市福田区福田街道皇洲花园一楼停车场,724,362,,1000,,,,114.0673605,22.53377162,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38158,0,1,1,-1,-1,中天昱品,社会开放,南方电网,已建成已测试,地面,顺易充App,,,,114.072486,22.531075
205,深圳越海家园充电站,深圳市福田区紫竹六道与竹子林四路交汇处西北侧越海家园地面停车场,721,360.5,,1000,,,,114.0018145,22.53800911,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=24475,0,39,39,-1,-1,,公共,云杉智慧,已建成已测试,其他,微信；支付宝；其他,固定收费：1.3元/度,固定收费：0.8元/度元/度电,第一个小时5元，后每个小时1元，每天最高10元,114.006826,22.535162
42,深圳天发大厦充电站,广东省深圳市福田区泰然十路沙头街道天发大厦,716,358,,1000,,,,114.0269009,22.53316053,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=8343,0,20,20,-1,M11002B/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,114.031971,22.530385
379,南山后海充电站,广东省深圳市南山区粤海街道滨海大道辅路舜远金融大厦(建设中),619,309.5,,1000,,,,113.9403483,22.52268789,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=41406,1,11,12,-1,-1,长园深瑞,社会开放,南方电网,已建成已测试,地面,顺易充App,,,免费,113.945226,22.519675
233,深圳花样年花郡充电站,深圳市宝安区明玉路11号花样年花郡小区,549,274.5,,1000,,,,113.8771927,22.56707537,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=24720,0,6,6,-1,-1,,公共,云杉智慧,已建成已测试,其他,微信；支付宝；其他,固定收费：1.3元/度,固定收费：0.8元/度元/度电,首小时5元，1小时起每小时1元，当天最高10元,113.882082,22.564032
166,深圳海心汇福园充电站,广东省深圳市龙岗区吉华路264号,542,271,,1000,,,,114.1057303,22.62060394,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18137,0,32,32,-1,M11002B/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:1.0300,服务费:00:00~24:00:0.7000元/度电,"不免费,第一小时10元，第二小时5元/小时，每天最高35元",114.110846,22.617928
399,青禾大富充电站直流,深圳市观澜大富,513,256.5,,1000,,,,114.0362399,22.71286264,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=42424,20,0,20,未配置/1666/1666/100.0,-1,深圳致联,公共,深圳致联,已建成已测试,其他,,,,不详,114.04134,22.71014
21,深圳曦湾华府充电站,广东省深圳市南山区中心路2314,505,252.5,,1000,,,,114.0185375,22.5289705,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=6075,0,19,19,-1,M11001C/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:1.2000,服务费:00:00~24:00:0.7000元/度电,,114.023589,22.526172
