charingId,name,address,lon,lat,lon_gaode,lat_gaode,url,num_fast,num_slow,num_pile,service_provider,accessibility,operator,status,others,payment_method,power_price,service_price,parking_price,open_time,provider_fast,provider_slow,config_fast,config_slow
160026,航天晴山月东区,广东省深圳市罗湖区莲塘街道罗沙路2008号,114.1831749,22.55848275,114.18812,22.555691,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160026,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,09:30-17:30,,,,
160031,东门天地大厦,广东省深圳市罗湖区东门街道晒布路2123号,114.1170729,22.5524636,114.122176,22.549775,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160031,0,18,18,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,30分钟内免费，第一小时15元，第二小时起5元/小时，全天最高60元,全天,,,,
160032,华海达国际服装交易中心,广东省深圳市罗湖区笋岗街道宝安北路2018号,114.1043048,22.56257505,114.109425,22.559895,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160032,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，超1小时。每小时5元，35元封顶。,08:30-17:30,,,,
90593,汇龙天下泽洋园-1,深圳市龙岗区龙城大道132号-汇龙天下泽洋园地库负一层141-152号车位。,114.2528282,22.73569737,114.257661,22.732869,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=90593,0,6,6,,公共,森通智达,已建成已测试,其他,其他,不详,不详,不详,周一至周日00:00-24:00,,,,
160034,汇龙天下泽洋园-2,广东省深圳市龙岗区龙城街道龙城大道132号,114.2528282,22.73569737,114.257661,22.732869,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160034,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
160036,龙园创展大厦,广东省深圳市罗湖区桂园街道解放路143号,114.1094325,22.54726433,114.114546,22.54458,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160036,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时15元，超1小时加5元,00:00-24:00,,,,
160037,宝安西城,广东省深圳市宝安区沙井街道民主大道14-5号,113.7925483,22.73779777,113.797663,22.734934,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160037,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时10元，第二小时起1元/小时，最高25元,全天,,,,
160050,福瑞阁,广东省深圳市福田区沙头街道新洲七街331号,114.0356071,22.52614833,114.040684,22.523381,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160050,0,2,2,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160051,鸿威海怡湾畔花园,广东省深圳市南山区蛇口街道岸湾六街6号,113.9375751,22.49533812,113.942442,22.492312,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160051,0,14,14,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,全天,,,,
160052,高发西岸花园三期,广东省深圳市宝安区新安街道裕安一路第5大道,113.87428,22.5581235,113.879183,22.555087,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160052,0,33,33,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，最高10元。,不对外开放,,,,
160053,鹏丽大厦,广东省深圳市福田区南园街道华强南路1039号,114.0814686,22.53561699,114.086598,22.532929,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160053,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后1元每小时,00:00-24:00,,,,
160054,汇龙花园,广东省深圳市福田区梅林街道凯丰路30号,114.058389,22.57699062,114.063505,22.574277,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160054,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第4个小时1元无小时，每天最高收费10元,00:00-24:00,,,,
160055,家和盛世一期,广东省深圳市龙岗区龙城街道吉福路125号,114.229347,22.72394371,114.234203,22.721119,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160055,0,12,12,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
160056,学子荔园,广东省深圳市南山区西丽街道官龙路10号,113.9403935,22.58935814,113.945269,22.586343,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160056,0,12,12,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，第二小时1元，封顶10元,全天,,,,
160076,水木华庭,广东省深圳市南山区桃源街道龙珠大道49号,113.9756759,22.56389062,113.980613,22.560953,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160076,0,8,8,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,全天,,,,
160077,体育中心附属楼,广东省深圳市南山区桃源街道珠光路320号,113.9531542,22.57532894,113.958048,22.572337,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160077,0,2,2,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,全天,,,,
160078,中南花园,广东省深圳市宝安区新安街道新乐路2号,113.8961348,22.55397737,113.901006,22.550925,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160078,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，第二小时起1元/小时，最高15元,全天,,,,
160079,合正名园一期,广东省深圳市福田区莲花街道新闻路33号,114.0388966,22.54448835,114.043982,22.541732,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160079,0,3,3,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时内免费，最高收费10元,全天,,,,
160080,合正名园二期,广东省深圳市福田区莲花街道景田南五街16号,114.0389556,22.54472935,114.044041,22.541973,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160080,0,3,3,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时内免费，最高收费10元,全天,,,,
160081,武警大厦景华苑,广东省深圳市福田区莲花街道北环大道7045-1-10号,114.0276737,22.56069442,114.032736,22.55791,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160081,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,第一小时5元，第二小时1元/小时，每天最高10元,00:00-24:00,,,,
160082,合正锦园北区,广东省深圳市罗湖区莲塘街道国威路东33号,114.1736271,22.56545922,114.178599,22.562687,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160082,0,5,5,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,不对外开放,,,,
160103,合正锦园中区,广东省深圳市罗湖区莲塘街道国威路东33号,114.1736271,22.56545922,114.178599,22.562687,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160103,0,5,5,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,不对外开放,,,,
160104,合正锦园南区,广东省深圳市罗湖区莲塘街道畔山支路22号,114.1727519,22.565522,114.177725,22.562751,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160104,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,不对外开放,,,,
160105,合正园,广东省深圳市福田区梅林街道梅华路181号,114.0460551,22.56581504,114.051154,22.563077,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160105,0,3,3,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,半小时内免费，最高收费10元,全天,,,,
160106,合正荣悦,广东省深圳市罗湖区翠竹街道文锦中路2016号,114.1249653,22.5547017,114.130055,22.552007,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160106,0,9,9,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,不对外开放,,,,
160107,合正中央原著南区,广东省深圳市龙华区民治街道人民南路2022号,114.0174347,22.63172557,114.022478,22.628921,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160107,0,17,17,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第四小时起1元/小时，一天最高10元,不对外开放,,,,
160108,合正中央原著北区,广东省深圳市龙华区民治街道民塘路539号,114.0191684,22.63363007,114.024216,22.630831,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160108,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首3小时5元，第四小时起1元/小时，一天最高10元,不对外开放,,,,
160127,合正星园,广东省深圳市罗湖区翠竹街道贝丽南路63号,114.121296,22.56835482,114.126393,22.565665,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160127,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，每加一小时加1元，10元封顶,不对外开放,,,,
160128,合正汇一城,广东省深圳市宝安区西乡街道新湖路266号,113.8603844,22.57678758,113.865316,22.57377,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160128,0,14,14,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,第一小时10元，第二小时起5元/时，每天最高收费35元。,全天,,,,
160129,圣莫丽斯二期,广东省深圳市龙华区民治街道八宝街38号,114.0266479,22.60488359,114.031712,22.602101,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160129,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160130,圣莫丽斯四期,广东省深圳市龙华区民治街道玉龙路2号,114.0225101,22.60580519,114.027565,22.603011,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160130,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160131,圣莫丽斯会所,广东省深圳市龙华区民治街道玉龙路1号,114.0240696,22.60121931,114.029127,22.59843,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160131,0,2,2,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160132,日出印象一期,广东省深圳市龙华区民治街道人民路2142号,114.0202873,22.6401468,114.025338,22.637352,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160132,0,6,6,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160133,日出印象二期,广东省深圳市龙华区民治街道人民路2033号,114.0202873,22.6401468,114.025338,22.637352,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160133,0,16,16,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,首小时5元，之后每增加1小时加一元，封顶10元,00:00-24:00,,,,
160156,奥林华府一期,广东省深圳市龙岗区龙城街道新坡路36号,114.2155508,22.70608616,114.22043,22.70327,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160156,0,10,10,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
160157,奥林华府二期,广东省深圳市龙岗区龙城街道如意路391号,114.2156815,22.70734855,114.22056,22.704533,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=160157,0,4,4,,公共,依威能源,已建成已测试,其他,其他,不详,不详元/度电,1小时内5元，10元封顶。,不对外开放,,,,
